X,Y,Z
880,57,0.0482
24036,1013,0.0081
2827,82,0.0426
1345,79,0.0192
208,18,0.0985
275,242,0.1042
528,15,0.1895
3417,154,0.267
32641,1248,0.0336
249,613,0.0281
46752,1465,0.0049
632,87,0.0178
273,71,0.0796
371,55,0.0536
205,165,0.0137
1096,669,0.0139
34866,2585,0.0016
198,88,0.0542
12168,176,0.0452
5731,146,0.0503
1600,606,0.0573
452,418,0.1132
872,151,0.0151
166,226,0.0507
325,145,0.061
160,22,0.113
339,288,0.0437
367,259,0.0079
161,45,0.1076
1177,126,0.0721
1234,1157,0.0061
2785,91,0.038
55992,1803,0.012
280,79,0.1366
3269,72,0.0461
3199,169,0.1365
164937,5798,0.005
3227,207,0.043
476,209,0.005
180,88,0.0523
2945,352,0.0052
269,268,0.0412
314,4,0.1297
1603,16,0.0364
781,64,0.0632
961,323,0.0062
517,63,0.0635
278,33,0.3827
8967,222,0.0323
3817,142,0.0062
1421,512,0.0144
175,59,0.0533
1693,387,0.0194
245,99,0.019
110,25,0.2196
242,58,0.0451
20176,254,0.044
2329,236,0.0117
17640,179,0.2278
102,63,0.0816
126,121,0.1832
168,83,0.0625
668,140,0.0944
212,74,0.2684
65551,1240,0.0276
25850,106,0.0217
2422,468,0.0042
719,61,0.0776
1139,65,0.0178
808,45,0.034
1125,286,0.0276
575,24,0.1991
445,50,0.0889
166,55,0.0928
340,69,0.0222
863,389,0.0352
870,369,0.0201
11830,406,0.0083
256,49,0.125
552,85,0.0643
1379,410,0.019
277,74,0.1362
410,212,0.0268
1131,961,0.0232
552,121,0.0179
511,77,0.0658
606,45,0.0335
494,202,0.1285
1113,331,0.0688
629,51,0.0161
3207,945,0.0078
8797,160,0.0508
783,118,0.0057
995,49,0.0224
147,20,0.1592
243,165,0.0641
2888,423,0.0296
102,50,0.0637
625,90,0.046
957,20,0.0155
1445,306,0.0419
21536,1536,0.0099
136532,365,0.0029
599,169,0.0429
1137,91,0.0749
1489,136,0.046
2964,63,0.0293
486,92,0.033
579,76,0.0561
3498,203,0.018
205,42,0.102
383,18,0.0428
38003,160,0.0405
8789,46,0.0548
223,50,0.0855
4369,690,0.022
534,150,0.014
237,102,0.0861
581,57,0.0771
1239,77,0.046
3524,696,0.0051
11283,465,0.0321
10340,387,0.0131
392,64,0.0546
682,53,0.1127
536,137,0.0528
614,87,0.082
41348,1668,0.0436
714,59,0.0126
7011,18,0.0021
212985,881,0.0108
672,92,0.1471
2722,1,0.0051
1324,285,0.0069
217,14,0.0679
103,29,0.0988
18262,323,0.0055
8465,2357,0.0057
1323,9,0.0978
196,106,0.0174
720,448,0.0248
99107,445,0.0077
20780,376,0.0028
166,37,0.0356
331,147,0.0096
695,23,0.0406
2466,68,0.1983
721,383,0.0085
657,96,0.2943
